,Business_Name,Boroughs,Cuisines,Inspection_Date,Action,Violation_Code,Violation_Description,Critical_Flag,Score,Grade,Grade_Date,Record_Date,Inspection_Type
0,American museum of the moving image,Queens,Coffee/tea,01/03/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,25.0,B,01/03/2019,11/20/2024,Cycle inspection / re-inspection
1,Morgenstern's finest ice cream,Manhattan,Frozen desserts,01/03/2019,Violations were cited in the following area(s).,22f,Misbranded and labeling,Not critical,12.0,A,01/03/2019,11/20/2024,Cycle inspection / initial inspection
2,Morgenstern's finest ice cream,Manhattan,Frozen desserts,01/03/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,12.0,A,01/03/2019,11/20/2024,Cycle inspection / initial inspection
3,American museum of the moving image,Queens,Coffee/tea,01/03/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,25.0,B,01/03/2019,11/20/2024,Cycle inspection / re-inspection
4,American museum of the moving image,Queens,Coffee/tea,01/03/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,25.0,B,01/03/2019,11/20/2024,Cycle inspection / re-inspection
5,Morgenstern's finest ice cream,Manhattan,Frozen desserts,01/03/2019,Violations were cited in the following area(s).,06c,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,01/03/2019,11/20/2024,Cycle inspection / initial inspection
6,American museum of the moving image,Queens,Coffee/tea,01/03/2019,Violations were cited in the following area(s).,02g,Cold food item held above 41º f (smoked fish and reduced oxygen packaged foods above 38 ºf) except during necessary preparation.,Critical,25.0,B,01/03/2019,11/20/2024,Cycle inspection / re-inspection
7,Morgenstern's finest ice cream,Manhattan,Frozen desserts,01/03/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,01/03/2019,11/20/2024,Cycle inspection / initial inspection
8,C lounge,Bronx,Latin american,01/05/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,31.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
9,Bogart house,Brooklyn,American,01/05/2019,Violations were cited in the following area(s).,10h,Proper sanitization not provided for utensil ware washing operation.,Not critical,11.0,A,01/05/2019,11/20/2024,Cycle inspection / initial inspection
10,New oriental guyana restaurant,Queens,Caribbean,01/05/2019,Violations were cited in the following area(s).,04n,"Filth flies or food/refuse/sewage-associated (frsa) flies present in facility’s food and/or non-food areas.  filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  food/refuse/sewage-associated flies include fruit flies, drain flies and phorid flies.",Critical,13.0,A,01/05/2019,11/20/2024,Cycle inspection / re-inspection
11,C lounge,Bronx,Latin american,01/05/2019,Violations were cited in the following area(s).,04a,Food protection certificate not held by supervisor of food operations.,Critical,31.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
12,Bogart house,Brooklyn,American,01/05/2019,Violations were cited in the following area(s).,06c,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11.0,A,01/05/2019,11/20/2024,Cycle inspection / initial inspection
13,C lounge,Bronx,Latin american,01/05/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,31.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
14,C lounge,Bronx,Latin american,01/05/2019,Violations were cited in the following area(s).,04n,"Filth flies or food/refuse/sewage-associated (frsa) flies present in facility’s food and/or non-food areas.  filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  food/refuse/sewage-associated flies include fruit flies, drain flies and phorid flies.",Critical,31.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
